Player,PlayerID,URLs,Pos,Age,Tm,G,GS,MP,MP/G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,PER,OWS,DWS,WS,WS/48,atTwitter,twitter
Norris Cole,\coleno01,http://www.basketball-reference.com/players/c/coleno01.html,PG,28,OKC,10,0,77,7.7,0.9,3,0.3,0.1,0.6,0.167,0.8,2.4,0.333,0.317,0.4,0.4,1,0,0.6,0.6,1.1,0.3,0,0.7,0.9,2.3,2.6,-0.2,0.1,-0.2,-0.098,@pg30_Cole,pg30_Cole
Darren Collison,\collida01,http://www.basketball-reference.com/players/c/collida01.html,PG,29,SAC,67,63,2035,30.4,5,10.5,0.475,1.1,2.6,0.419,3.9,8,0.493,0.525,2.1,2.5,0.856,0.3,1.9,2.2,4.5,1,0.1,1.6,1.8,13.2,15.2,3.1,0.8,3.9,0.091,@Darren_Collison,Darren_Collison
Nick Collison,\collini01,http://www.basketball-reference.com/players/c/collini01.html,PF,36,OKC,18,0,111,6.2,0.5,0.9,0.563,0,0,NA,0.5,0.9,0.563,0.563,0.3,0.4,0.625,0.4,1,1.4,0.6,0.1,0.1,0.2,0.8,1.3,10.9,0.2,0.1,0.3,0.129,@nickcollison4,nickcollison4
Mike Conley,\conlemi01,http://www.basketball-reference.com/players/c/conlemi01.html,PG,29,MEM,66,65,2217,33.6,6.7,14.8,0.453,2.4,6.1,0.4,4.3,8.7,0.49,0.535,4.7,5.4,0.861,0.5,3.1,3.6,6.4,1.3,0.3,2.3,1.9,20.5,22.8,6.9,2.4,9.4,0.203,@mconley11,mconley11
Pat Connaughton,\connapa01,http://www.basketball-reference.com/players/c/connapa01.html,SG,24,POR,36,0,238,6.6,0.6,1.3,0.489,0.3,0.5,0.474,0.4,0.8,0.5,0.585,0.2,0.3,0.778,0.3,0.8,1.1,0.5,0.1,0.1,0.3,0.5,1.7,10.2,0.2,0.1,0.3,0.069,@PlanetPat5,PlanetPat5
Quinn Cook,\cookqu01,http://www.basketball-reference.com/players/c/cookqu01.html,PG,23,TOT,10,0,90,9,1.4,3,0.467,0.7,1.8,0.389,0.7,1.2,0.583,0.583,0,0.2,0,0,0.4,0.4,1.4,0.2,0,0.8,0.8,3.5,9.9,0,0,0,0.013,@QCook323,QCook323
Quinn Cook,\cookqu01,http://www.basketball-reference.com/players/c/cookqu01.html,PG,23,DAL,5,0,77,15.4,2.2,5,0.44,1,2.8,0.357,1.2,2.2,0.545,0.54,0,0.4,0,0,0.6,0.6,2.4,0.2,0,1.6,1.2,5.4,6.9,-0.1,0,-0.1,-0.044,@QCook323,QCook323
Quinn Cook,\cookqu01,http://www.basketball-reference.com/players/c/cookqu01.html,PG,23,NOP,5,0,13,2.6,0.6,1,0.6,0.4,0.8,0.5,0.2,0.2,1,0.8,0,0,NA,0,0.2,0.2,0.4,0.2,0,0,0.4,1.6,27.4,0.1,0,0.1,0.353,@QCook323,QCook323
DeMarcus Cousins,\couside01,http://www.basketball-reference.com/players/c/couside01.html,C,26,TOT,72,72,2465,34.2,9,19.9,0.452,1.8,5,0.361,7.2,14.8,0.483,0.498,7.2,9.3,0.772,2.1,9,11.1,4.6,1.4,1.3,3.7,3.9,27,25.9,3.9,3.9,7.8,0.151,@boogiecousins,boogiecousins
DeMarcus Cousins,\couside01,http://www.basketball-reference.com/players/c/couside01.html,C,26,SAC,55,55,1891,34.4,9.2,20.3,0.451,1.7,4.9,0.354,7.5,15.5,0.482,0.494,7.7,10,0.77,2.1,8.5,10.6,4.8,1.4,1.3,3.8,3.7,27.8,26.6,3.4,2.7,6.1,0.154,@boogiecousins,boogiecousins
DeMarcus Cousins,\couside01,http://www.basketball-reference.com/players/c/couside01.html,C,26,NOP,17,17,574,33.8,8.4,18.4,0.454,2.1,5.6,0.379,6.2,12.8,0.486,0.511,5.5,7.1,0.777,2.2,10.3,12.5,3.9,1.5,1.3,3.6,4.4,24.4,23.6,0.5,1.2,1.7,0.143,@boogiecousins,boogiecousins
Robert Covington,\covinro01,http://www.basketball-reference.com/players/c/covinro01.html,SF,26,PHI,67,67,2119,31.6,4.4,10.9,0.399,2,6.1,0.333,2.3,4.8,0.484,0.492,2.1,2.6,0.822,1.4,5.1,6.5,1.5,1.9,1,2,3,12.9,13.2,0,3.2,3.1,0.071,@Holla_At_Rob33,Holla_At_Rob33
Allen Crabbe,\crabbal01,http://www.basketball-reference.com/players/c/crabbal01.html,SG,24,POR,78,7,2222,28.5,3.8,8.1,0.465,1.6,3.7,0.432,2.2,4.4,0.493,0.564,1.3,1.6,0.846,0.2,2.6,2.8,1.2,0.7,0.3,0.8,2.1,10.5,11.3,2.8,0.9,3.7,0.081,@allencrabbe,allencrabbe
Jamal Crawford,\crawfja01,http://www.basketball-reference.com/players/c/crawfja01.html,SG,36,LAC,79,1,2080,26.3,4.4,10.6,0.411,1.4,3.9,0.357,2.9,6.7,0.442,0.477,2.1,2.4,0.855,0.2,1.4,1.6,2.6,0.7,0.2,1.7,1.4,12.2,11.7,0.2,1.3,1.5,0.035,@JCrossover,JCrossover
Jordan Crawford,\crawfjo02,http://www.basketball-reference.com/players/c/crawfjo02.html,SG,28,NOP,15,0,339,22.6,5.1,10.7,0.472,2.1,5.2,0.41,2.9,5.5,0.53,0.571,1.1,1.3,0.8,0.3,1.6,1.9,2.7,0.4,0.1,1.1,1.9,13.3,17,0.6,0.2,0.8,0.113,@jcraw55,jcraw55
Jae Crowder,\crowdja01,http://www.basketball-reference.com/players/c/crowdja01.html,SF,26,BOS,68,68,2202,32.4,4.5,10,0.454,2.1,5.5,0.39,2.4,4.5,0.531,0.561,2.5,3,0.826,0.7,5.1,5.7,2.1,1,0.3,1.1,2.3,13.7,14.7,3.8,2.3,6.1,0.134,@CJC9BOSS,CJC9BOSS
Dante Cunningham,\cunnida01,http://www.basketball-reference.com/players/c/cunnida01.html,SF,29,NOP,62,31,1559,25.1,2.6,5.5,0.475,1.1,2.8,0.392,1.5,2.7,0.56,0.574,0.3,0.4,0.593,0.9,3.3,4.2,0.5,0.6,0.4,0.4,1.5,6.5,9.8,1.2,1.6,2.8,0.085,@DlamarC33,DlamarC33
Seth Curry,\curryse01,http://www.basketball-reference.com/players/c/curryse01.html,PG,26,DAL,70,42,2029,29,4.8,10,0.481,2,4.6,0.425,2.9,5.4,0.528,0.578,1.2,1.4,0.85,0.4,2.2,2.5,2.7,1.1,0.1,1.3,1.8,12.8,15.5,2.9,1.8,4.7,0.111,@sdotcurry,sdotcurry
Stephen Curry,\curryst01,http://www.basketball-reference.com/players/c/curryst01.html,PG,28,GSW,77,77,2580,33.5,8.6,18.3,0.468,4.1,10,0.408,4.5,8.4,0.54,0.579,4.1,4.6,0.901,0.8,3.7,4.5,6.6,1.8,0.2,3,2.4,25.3,24.6,8.4,3.8,12.3,0.228,@StephenCurry30,StephenCurry30
Troy Daniels,\danietr01,http://www.basketball-reference.com/players/d/danietr01.html,SG,25,MEM,64,3,1137,17.8,2.8,7.5,0.379,2.1,5.4,0.389,0.7,2,0.354,0.521,0.7,0.8,0.796,0.3,1.2,1.5,0.7,0.3,0,0.7,1.3,8.4,11,0.7,0.8,1.4,0.06,@troydaniels,troydaniels
Anthony Davis,\davisan02,http://www.basketball-reference.com/players/d/davisan02.html,C,23,NOP,74,74,2684,36.3,10.3,20.3,0.506,0.5,1.8,0.305,9.7,18.5,0.526,0.52,7,8.7,0.804,2.3,9.6,11.9,2.1,1.3,2.2,2.4,2.2,28,27.6,6.1,5.2,11.3,0.201,@AntDavis23,AntDavis23
Deyonta Davis,\davisde01,http://www.basketball-reference.com/players/d/davisde01.html,C,20,MEM,33,0,212,6.4,0.7,1.3,0.535,0,0,NA,0.7,1.3,0.535,0.535,0.3,0.5,0.556,0.5,1.2,1.7,0.1,0,0.5,0.2,1.1,1.7,11.3,0.1,0.3,0.5,0.103,@deyontadavis23,deyontadavis23
Ed Davis,\davised01,http://www.basketball-reference.com/players/d/davised01.html,PF,27,POR,46,12,789,17.2,1.6,3.1,0.528,0,0,NA,1.6,3.1,0.528,0.528,1.1,1.8,0.617,2.1,3.2,5.3,0.6,0.3,0.5,0.8,3,4.3,11.5,1,0.7,1.7,0.102,@eddavisXVII,eddavisXVII
Dewayne Dedmon,\dedmode01,http://www.basketball-reference.com/players/d/dedmode01.html,C,27,SAS,72,33,1260,17.5,2.1,3.3,0.647,0,0,NA,2.1,3.3,0.647,0.647,0.9,1.2,0.736,1.5,4.8,6.3,0.6,0.5,0.8,0.8,2.4,5.1,16.1,2.3,2.9,5.1,0.195,@d_dedmon3,d_dedmon3
Sam Dekker,\dekkesa01,http://www.basketball-reference.com/players/d/dekkesa01.html,SF,22,HOU,77,2,1419,18.4,2.6,5.6,0.473,0.8,2.4,0.321,1.9,3.1,0.591,0.543,0.5,0.9,0.559,1.2,2.5,3.7,1,0.5,0.3,0.5,1.1,6.5,13.1,1.9,1.3,3.2,0.108,@dekker,dekker
Malcolm Delaney,\delanma01,http://www.basketball-reference.com/players/d/delanma01.html,PG,27,ATL,69,2,1174,17,2,5.3,0.374,0.3,1.5,0.228,1.7,3.8,0.43,0.406,1,1.2,0.786,0.2,1.5,1.7,2.6,0.5,0,1.3,1.6,5.3,7.2,-1.3,1.2,-0.1,-0.003,@foe23,foe23
Matthew Dellavedova,\dellama01,http://www.basketball-reference.com/players/d/dellama01.html,PG,26,MIL,73,52,1910,26.2,2.7,6.9,0.391,1,2.8,0.366,1.7,4.2,0.407,0.464,1.1,1.3,0.851,0.3,1.6,1.9,4.8,0.7,0,1.8,2,7.5,9.5,0.4,0.8,1.2,0.029,@matthewdelly,matthewdelly
Luol Deng,\denglu01,http://www.basketball-reference.com/players/d/denglu01.html,SF,31,LAL,56,49,1486,26.5,2.9,7.6,0.386,0.9,2.9,0.311,2,4.7,0.433,0.446,0.8,1.1,0.73,1.1,4.1,5.3,1.3,0.9,0.4,0.8,1.1,7.6,10.1,0.1,0.7,0.8,0.026,@LuolDeng9,LuolDeng9
DeMar DeRozan,\derozde01,http://www.basketball-reference.com/players/d/derozde01.html,SG,27,TOR,72,72,2553,35.5,9.7,20.8,0.465,0.5,1.7,0.268,9.2,19.1,0.482,0.476,7.3,8.6,0.841,1,4.3,5.3,4,1.1,0.2,2.4,1.8,27,23.8,6.4,2.2,8.6,0.162,@DeMar_DeRozan,DeMar_DeRozan
Cheick Diallo,\diallch01,http://www.basketball-reference.com/players/d/diallch01.html,PF,20,NOP,13,0,104,8,1.4,3.5,0.4,0,0,NA,1.4,3.5,0.4,0.4,0.5,0.8,0.7,1,1.6,2.6,0.2,0.2,0.2,0.2,0.7,3.3,14.6,0,0.1,0.1,0.066,@cheick_diallo13,cheick_diallo13
Boris Diaw,\diawbo01,http://www.basketball-reference.com/players/d/diawbo01.html,PF,34,UTA,69,29,1212,17.6,2,4.5,0.444,0.3,1.1,0.253,1.7,3.4,0.509,0.476,0.3,0.4,0.71,0.7,1.5,2.2,2.3,0.2,0.1,1.2,1.1,4.6,8.6,-0.3,1.2,0.9,0.035,@theborisdiaw,theborisdiaw
Gorgui Dieng,\dienggo01,http://www.basketball-reference.com/players/d/dienggo01.html,PF,27,MIN,77,77,2484,32.3,4.1,8.2,0.498,0.2,0.5,0.381,3.9,7.6,0.507,0.511,1.6,2.1,0.804,2.3,5.6,7.9,1.9,1.1,1.2,1.3,3.1,10,14.1,3,2.4,5.3,0.103,@GorguiDieng,GorguiDieng
Spencer Dinwiddie,\dinwisp01,http://www.basketball-reference.com/players/d/dinwisp01.html,PG,23,BRK,55,17,1235,22.5,2.2,5.1,0.439,0.6,1.6,0.378,1.6,3.5,0.468,0.5,2.1,2.7,0.782,0.4,2.3,2.7,3.2,0.7,0.4,1.1,2,7.2,12.4,1.7,0.8,2.5,0.096,@SDinwiddie_25,SDinwiddie_25
Toney Douglas,\douglto01,http://www.basketball-reference.com/players/d/douglto01.html,PG,30,MEM,24,0,394,16.4,1.8,4.9,0.368,0.3,1.8,0.167,1.5,3.1,0.48,0.397,1,1.2,0.828,0.5,2,2.5,2.3,0.8,0.2,0.9,2.1,4.9,10.5,0,0.5,0.5,0.06,NA,NA
Goran Dragic,\dragigo01,http://www.basketball-reference.com/players/d/dragigo01.html,PG,30,MIA,69,69,2310,33.5,7.3,15.3,0.479,1.7,4.1,0.411,5.7,11.3,0.503,0.533,4,5.1,0.791,0.8,3,3.8,5.9,1.2,0.2,2.9,2.8,20.3,20.2,5,2.4,7.4,0.154,@Goran_Dragic,Goran_Dragic
Andre Drummond,\drumman01,http://www.basketball-reference.com/players/d/drumman01.html,C,23,DET,77,77,2316,30.1,6.1,11.4,0.534,0,0.1,0.286,6.1,11.3,0.536,0.535,1.8,4.5,0.388,4.3,9.7,14,1.1,1.6,1.1,1.9,2.9,13.9,21,1.3,5.1,6.5,0.134,@AndreDrummond,AndreDrummond
Jared Dudley,\dudleja01,http://www.basketball-reference.com/players/d/dudleja01.html,PF,31,PHO,62,7,1326,21.4,2.5,5.5,0.453,1.2,3.2,0.374,1.3,2.3,0.564,0.562,0.7,1,0.651,0.5,3,3.5,1.9,0.7,0.3,1.1,2.5,6.8,10.5,1,0.8,1.7,0.063,@JaredDudley619,JaredDudley619
Mike Dunleavy,\dunlemi02,http://www.basketball-reference.com/players/d/dunlemi02.html,SF,36,TOT,48,2,765,15.9,1.7,4,0.42,1,2.5,0.387,0.7,1.5,0.473,0.539,0.6,0.7,0.771,0.3,1.9,2.3,0.9,0.3,0.1,0.6,1.3,4.9,9.2,0.6,0.6,1.2,0.073,NA,NA
Mike Dunleavy,\dunlemi02,http://www.basketball-reference.com/players/d/dunlemi02.html,SF,36,CLE,23,2,366,15.9,1.6,3.9,0.4,0.9,2.5,0.351,0.7,1.4,0.485,0.511,0.6,0.8,0.737,0.2,1.8,2,0.9,0.3,0.1,0.6,1.4,4.6,7.6,0.1,0.2,0.3,0.042,NA,NA
Mike Dunleavy,\dunlemi02,http://www.basketball-reference.com/players/d/dunlemi02.html,SF,36,ATL,25,0,399,16,1.8,4.1,0.437,1,2.5,0.419,0.8,1.6,0.463,0.563,0.5,0.6,0.813,0.4,2,2.4,1,0.3,0.1,0.5,1.1,5.2,10.6,0.4,0.4,0.8,0.101,NA,NA
Kris Dunn,\dunnkr01,http://www.basketball-reference.com/players/d/dunnkr01.html,PG,22,MIN,73,6,1249,17.1,1.5,4,0.381,0.3,1,0.286,1.2,3,0.412,0.416,0.5,0.8,0.61,0.3,1.9,2.2,2.3,1,0.5,1.2,2.3,3.8,8.1,-1.1,1.3,0.2,0.007,@KrisDunn3,KrisDunn3
Kevin Durant,\duranke01,http://www.basketball-reference.com/players/d/duranke01.html,SF,28,GSW,59,59,1980,33.6,8.9,16.7,0.537,1.9,5,0.378,7.1,11.6,0.606,0.594,5.5,6.3,0.876,0.6,7.6,8.2,4.8,1.1,1.6,2.3,1.9,25.3,27.6,7.6,3.8,11.4,0.277,@KDTrey5,KDTrey5
Jarell Eddie,\eddieja01,http://www.basketball-reference.com/players/e/eddieja01.html,SF,25,PHO,5,0,62,12.4,1.2,3.8,0.316,0.8,3.2,0.25,0.4,0.6,0.667,0.421,1.6,1.8,0.889,0.2,1.2,1.4,0,0.2,0,0.2,0.2,4.8,9.6,0.1,0,0.1,0.055,NA,NA
Henry Ellenson,\ellenhe01,http://www.basketball-reference.com/players/e/ellenhe01.html,PF,20,DET,15,0,57,3.8,0.5,1.5,0.348,0.3,0.9,0.286,0.3,0.6,0.444,0.435,0.1,0.1,1,0.1,0.7,0.8,0.3,0,0,0.4,0.2,1.4,4.9,-0.2,0,-0.1,-0.089,@HenryEllenson13,HenryEllenson13
Wayne Ellington,\ellinwa01,http://www.basketball-reference.com/players/e/ellinwa01.html,SG,29,MIA,58,13,1406,24.2,3.7,9.1,0.413,2.3,6.3,0.37,1.4,2.7,0.513,0.542,0.6,0.7,0.854,0.3,1.8,2.1,1.1,0.6,0.1,0.5,1.1,10.4,12.3,1.8,1.1,2.9,0.098,@WayneElli22,WayneElli22
Monta Ellis,\ellismo01,http://www.basketball-reference.com/players/e/ellismo01.html,SG,31,IND,70,29,1899,27.1,3.4,7.7,0.447,0.6,1.8,0.32,2.9,5.9,0.487,0.485,1.3,1.8,0.742,0.3,2.6,2.8,3.2,1,0.4,1.8,2,8.8,10.2,-0.5,1.6,1.1,0.027,NA,NA
Joel Embiid,\embiijo01,http://www.basketball-reference.com/players/e/embiijo01.html,C,22,PHI,31,31,786,25.4,6.5,13.8,0.466,1.2,3.2,0.367,5.3,10.7,0.495,0.508,6.2,7.9,0.783,2,5.9,7.8,2.1,0.9,2.5,3.8,3.6,20.2,24,0.4,1.5,1.9,0.117,@JoelEmbiid,JoelEmbiid
James Ennis,\ennisja01,http://www.basketball-reference.com/players/e/ennisja01.html,SF,26,MEM,63,28,1479,23.5,2.3,5,0.454,0.8,2.1,0.373,1.5,2.9,0.514,0.533,1.4,1.7,0.782,1.1,2.9,4,1,0.7,0.3,0.9,2.6,6.7,10.5,1.4,1.7,3.1,0.101,@JamesDa_Truth,JamesDa_Truth
Tyler Ennis,\ennisty01,http://www.basketball-reference.com/players/e/ennisty01.html,PG,22,TOT,49,1,475,9.7,1.5,3.5,0.428,0.4,1.1,0.396,1.1,2.4,0.442,0.488,0.3,0.4,0.842,0.2,0.7,0.9,1.4,0.5,0,0.8,1,3.8,10.9,0,0.3,0.3,0.03,@tdot_ennis,tdot_ennis
Tyler Ennis,\ennisty01,http://www.basketball-reference.com/players/e/ennisty01.html,PG,22,HOU,31,0,196,6.3,0.8,2.1,0.391,0.2,0.5,0.375,0.6,1.5,0.396,0.438,0.1,0.1,0.667,0.1,0.5,0.6,1.1,0.2,0,0.8,0.9,1.9,4,-0.4,0.1,-0.2,-0.057,@tdot_ennis,tdot_ennis
Tyler Ennis,\ennisty01,http://www.basketball-reference.com/players/e/ennisty01.html,PG,22,LAL,18,1,279,15.5,2.7,6.1,0.45,0.8,2.1,0.405,1.9,4,0.472,0.518,0.8,0.9,0.875,0.3,0.9,1.3,2.1,0.9,0,0.8,1.2,7.1,15.7,0.4,0.1,0.5,0.091,@tdot_ennis,tdot_ennis
Tyreke Evans,\evansty01,http://www.basketball-reference.com/players/e/evansty01.html,SG,27,TOT,39,6,768,19.7,3.8,9.4,0.407,1.1,3,0.359,2.7,6.4,0.43,0.464,1.7,2.3,0.756,0.3,3.1,3.4,3.1,0.9,0.2,1.5,1.5,10.5,15.9,-0.1,0.9,0.8,0.052,@TyrekeEvans,TyrekeEvans
Tyreke Evans,\evansty01,http://www.basketball-reference.com/players/e/evansty01.html,SG,27,NOP,26,0,474,18.2,3.5,8.7,0.401,0.8,2.7,0.3,2.7,6,0.446,0.447,1.7,2.2,0.776,0.2,3.1,3.3,3.5,0.9,0.2,1.5,1.6,9.5,15.8,-0.1,0.7,0.5,0.055,@TyrekeEvans,TyrekeEvans
Tyreke Evans,\evansty01,http://www.basketball-reference.com/players/e/evansty01.html,SG,27,SAC,13,6,294,22.6,4.5,10.7,0.417,1.6,3.6,0.447,2.8,7.1,0.402,0.493,1.8,2.5,0.719,0.4,3.2,3.6,2.4,0.8,0.4,1.5,1.3,12.3,15.9,0.1,0.2,0.3,0.049,@TyrekeEvans,TyrekeEvans
Dante Exum,\exumda01,http://www.basketball-reference.com/players/e/exumda01.html,PG,21,UTA,62,23,1138,18.4,2.4,5.5,0.437,0.6,2.2,0.296,1.7,3.3,0.529,0.496,0.9,1.1,0.803,0.5,1.5,2,1.6,0.3,0.2,1.2,2.2,6.3,9,0.2,1.2,1.4,0.057,@daanteee,daanteee
Kenneth Faried,\farieke01,http://www.basketball-reference.com/players/f/farieke01.html,PF,27,DEN,60,33,1279,21.3,3.8,6.8,0.549,0,0.1,0,3.8,6.7,0.557,0.549,2.2,3.1,0.699,3,4.6,7.6,0.9,0.7,0.7,0.9,2,9.7,20.5,3.4,1.1,4.5,0.168,@KennethFaried35,KennethFaried35
Jordan Farmar,\farmajo01,http://www.basketball-reference.com/players/f/farmajo01.html,PG,30,SAC,2,0,35,17.5,2,6,0.333,2,4.5,0.444,0,1.5,0,0.5,0,0,NA,0.5,1,1.5,4.5,1,0,1.5,0.5,6,14.4,0,0,0,0.065,@JrFarmar,JrFarmar
Derrick Favors,\favorde01,http://www.basketball-reference.com/players/f/favorde01.html,PF,25,UTA,47,39,1134,24.1,4,8.4,0.483,0.1,0.2,0.333,4,8.2,0.487,0.487,1.4,2.3,0.623,1.8,4.4,6.2,1.1,0.9,0.9,1.2,2.1,9.6,15.6,0.5,2.1,2.6,0.11,@dfavors14,dfavors14
Kay Felder,\feldeka01,http://www.basketball-reference.com/players/f/feldeka01.html,PG,21,CLE,41,0,379,9.2,1.5,3.8,0.387,0.2,0.5,0.318,1.3,3.2,0.398,0.41,0.9,1.2,0.714,0.1,0.9,1,1.3,0.4,0.2,0.7,0.9,4,10.7,-0.4,0.4,0,-0.001,NA,NA
Cristiano Felicio,\feliccr01,http://www.basketball-reference.com/players/f/feliccr01.html,C,24,CHI,62,0,988,15.9,2,3.4,0.573,0,0,NA,2,3.4,0.573,0.573,1,1.5,0.652,2,2.8,4.8,0.6,0.4,0.2,0.5,1.7,4.9,15.3,2,1.1,3.1,0.151,NA,NA
Raymond Felton,\feltora01,http://www.basketball-reference.com/players/f/feltora01.html,PG,32,LAC,77,11,1642,21.3,2.8,6.5,0.428,0.6,1.9,0.322,2.2,4.6,0.471,0.474,0.6,0.8,0.781,0.4,2.3,2.7,2.4,0.8,0.3,1.1,1.6,6.8,10.9,0.1,1.6,1.8,0.053,@RFeltonGBMS,RFeltonGBMS
Yogi Ferrell,\ferreyo01,http://www.basketball-reference.com/players/f/ferreyo01.html,PG,23,TOT,42,25,1072,25.5,3.4,8.2,0.413,1.5,3.7,0.397,1.9,4.5,0.426,0.503,1.6,1.9,0.827,0.4,1.9,2.3,3.7,1,0.2,1.5,1.9,9.8,13.5,0.9,0.9,1.8,0.083,@YogiFerrell11,YogiFerrell11
Yogi Ferrell,\ferreyo01,http://www.basketball-reference.com/players/f/ferreyo01.html,PG,23,BRK,10,0,151,15.1,1.8,4.9,0.367,0.8,2.7,0.296,1,2.2,0.455,0.449,1,1.6,0.625,0.4,0.8,1.2,1.7,0.2,0.2,1.4,1.1,5.4,6.5,-0.2,0,-0.2,-0.049,@YogiFerrell11,YogiFerrell11
Yogi Ferrell,\ferreyo01,http://www.basketball-reference.com/players/f/ferreyo01.html,PG,23,DAL,32,25,921,28.8,3.9,9.2,0.42,1.7,4,0.419,2.2,5.2,0.422,0.512,1.8,2,0.877,0.4,2.3,2.7,4.3,1.2,0.2,1.5,2.1,11.2,14.7,1.1,0.9,2,0.104,@YogiFerrell11,YogiFerrell11
Dorian Finney-Smith,\finnedo01,http://www.basketball-reference.com/players/f/finnedo01.html,PF,23,DAL,77,32,1521,19.8,1.5,3.9,0.385,0.7,2.3,0.305,0.8,1.6,0.5,0.475,0.6,0.8,0.746,0.6,2,2.6,0.7,0.6,0.3,0.6,1.5,4.3,7.7,0,1.5,1.5,0.047,@doefinney_10,doefinney_10
Bryn Forbes,\forbebr01,http://www.basketball-reference.com/players/f/forbebr01.html,SG,23,SAS,33,0,240,7.3,0.8,2.3,0.333,0.4,1.2,0.3,0.4,1.1,0.371,0.413,0.1,0.1,0.667,0.1,0.5,0.5,0.5,0,0,0.2,0.4,1.9,3.7,-0.3,0.2,-0.1,-0.013,@BrynjForbes,BrynjForbes
Evan Fournier,\fournev01,http://www.basketball-reference.com/players/f/fournev01.html,SG,24,ORL,65,63,2142,33,6,13.8,0.438,1.9,5.3,0.35,4.2,8.5,0.493,0.505,3.3,4.1,0.801,0.7,2.5,3.1,3,1,0,2.1,2.7,17.2,13.9,1.5,1.1,2.6,0.059,@EvanFourmizz,EvanFourmizz
Randy Foye,\foyera01,http://www.basketball-reference.com/players/f/foyera01.html,SG,33,BRK,65,36,1222,18.8,1.8,4.8,0.379,1,2.9,0.351,0.8,1.8,0.424,0.487,0.8,0.9,0.852,0.1,2.2,2.3,2,0.5,0.1,1.2,1.5,5.4,7.8,-0.3,0.7,0.4,0.015,@randyfoye,randyfoye
Tim Frazier,\fraziti01,http://www.basketball-reference.com/players/f/fraziti01.html,PG,26,NOP,62,32,1455,23.5,2.6,6.2,0.412,0.6,1.9,0.308,2,4.3,0.459,0.46,1.4,1.9,0.774,0.5,2.2,2.7,5.1,0.9,0.1,1.6,2,7.2,12.5,1,1.4,2.4,0.079,@Timfraz23,Timfraz23
Channing Frye,\fryech01,http://www.basketball-reference.com/players/f/fryech01.html,C,33,CLE,70,11,1308,18.7,3.1,7,0.449,1.8,4.5,0.407,1.3,2.4,0.526,0.581,0.8,0.9,0.833,0.5,3.3,3.8,0.6,0.4,0.5,0.7,1.9,8.9,15.1,1.9,1.3,3.2,0.118,@Channing_Frye,Channing_Frye
Danilo Gallinari,\gallida01,http://www.basketball-reference.com/players/g/gallida01.html,SF,28,DEN,61,61,2064,33.8,5.2,11.8,0.444,2,5.1,0.387,3.3,6.7,0.487,0.527,5.6,6.2,0.902,0.6,4.4,5.1,2.1,0.7,0.2,1.3,1.5,18,17.3,6,0.5,6.5,0.151,@gallinari8888,gallinari8888
Langston Galloway,\gallola01,http://www.basketball-reference.com/players/g/gallola01.html,PG,25,TOT,70,1,1380,19.7,2.8,7.3,0.379,1.6,4.2,0.387,1.1,3.1,0.369,0.491,0.7,0.9,0.783,0.4,1.7,2.1,1.1,0.6,0.1,0.6,1.3,7.9,10.4,0.1,1.1,1.2,0.041,@LangGalloway10,LangGalloway10
Langston Galloway,\gallola01,http://www.basketball-reference.com/players/g/gallola01.html,PG,25,NOP,55,0,1120,20.4,3,8,0.374,1.8,4.9,0.377,1.2,3.1,0.37,0.489,0.7,0.9,0.769,0.4,1.8,2.2,1.2,0.7,0.1,0.5,1.4,8.6,11.2,0.2,1,1.2,0.054,@LangGalloway10,LangGalloway10
Langston Galloway,\gallola01,http://www.basketball-reference.com/players/g/gallola01.html,PG,25,SAC,15,1,260,17.3,2,4.9,0.411,0.9,1.9,0.483,1.1,2.9,0.364,0.507,0.5,0.5,0.875,0.3,1.3,1.6,0.8,0.3,0.1,0.9,0.8,5.4,7.2,-0.1,0.1,-0.1,-0.011,@LangGalloway10,LangGalloway10
Patricio Garino,\garinpa01,http://www.basketball-reference.com/players/g/garinpa01.html,SG,23,ORL,1,0,4,4,0,1,0,0,0,NA,0,1,0,0,0,0,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,-0.151,@patitogarino,patitogarino
Marc Gasol,\gasolma01,http://www.basketball-reference.com/players/g/gasolma01.html,C,32,MEM,71,71,2448,34.5,7.3,15.8,0.46,1.4,3.7,0.385,5.9,12.2,0.483,0.505,3.8,4.5,0.832,0.8,5.4,6.2,4.6,0.9,1.3,2.2,2.3,19.8,20.3,4.1,3.4,7.5,0.146,@MarcGasol,MarcGasol
Pau Gasol,\gasolpa01,http://www.basketball-reference.com/players/g/gasolpa01.html,C,36,SAS,61,39,1559,25.6,4.8,9.4,0.508,0.9,1.6,0.541,3.9,7.8,0.501,0.554,2,2.9,0.697,1.7,6.1,7.8,2.4,0.4,1.1,1.3,1.7,12.4,20.2,3.2,3,6.2,0.19,@paugasol,paugasol
Rudy Gay,\gayru01,http://www.basketball-reference.com/players/g/gayru01.html,SF,30,SAC,30,30,1013,33.8,6.7,14.7,0.455,1.4,3.8,0.372,5.3,11,0.483,0.502,3.9,4.6,0.855,1.2,5.2,6.3,2.7,1.5,0.9,2.5,2.6,18.7,17.9,0.8,1,1.8,0.087,@RudyGay8,RudyGay8
